underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^SPX,2017-10-23,SPXW,2018-03-29,1700.000,C,0.0000,0.0000,0.0000,0.0000,0,53,855.8000,40,864.8000,2565.8000,2566.3000,2551.5482,2566.0500,0.0200,1.0000,0.0000,-0.0577,0.0000,727.4725,13,855.0000,13,866.8000,2536.0900,2586.0200,0.0000,2,
^SPX,2017-10-23,SPXW,2018-03-29,1700.000,P,0.0000,0.0000,0.0000,0.0000,0,140,2.3000,172,2.4500,2565.8000,2566.3000,2551.5482,2566.0500,0.2944,-0.0130,0.0001,-0.0512,0.5592,-15.2605,170,2.3500,165,2.5500,2536.0900,2586.0200,0.0000,1245,
^SPX,2017-10-23,SPXW,2018-03-29,1750.000,C,0.0000,0.0000,0.0000,0.0000,0,40,806.3000,40,815.4000,2565.8000,2566.3000,2551.5482,2566.0500,0.0200,1.0000,0.0000,-0.0594,0.0000,748.8687,13,805.9000,13,817.6000,2536.0900,2586.0200,0.0000,26,
^SPX,2017-10-23,SPXW,2018-03-29,1750.000,P,0.0000,0.0000,0.0000,0.0000,0,85,2.7500,140,2.9000,2565.8000,2566.3000,2551.5482,2566.0500,0.2832,-0.0157,0.0001,-0.0580,0.6594,-18.4590,180,2.8000,60,3.0000,2536.0900,2586.0200,0.0000,641,
^SPX,2017-10-23,SPXW,2018-03-29,1775.000,C,0.0000,0.0000,0.0000,0.0000,0,53,782.1000,40,790.9000,2565.8000,2566.3000,2551.5482,2566.0500,0.2177,0.9960,0.0000,-0.0736,0.1989,754.9570,13,781.1000,13,792.8000,2536.0900,2586.0200,0.0000,4,
^SPX,2017-10-23,SPXW,2018-03-29,1775.000,P,0.0000,0.0000,0.0000,0.0000,0,139,3.0000,240,3.2000,2565.8000,2566.3000,2551.5482,2566.0500,0.2779,-0.0174,0.0001,-0.0620,0.7186,-20.3972,60,3.1000,170,3.3000,2536.0900,2586.0200,0.0000,274,
^SPX,2017-10-23,SPXW,2018-03-29,1800.000,C,0.0000,0.0000,0.0000,0.0000,0,40,757.2000,40,766.3000,2565.8000,2566.3000,2551.5482,2566.0500,0.2153,0.9950,0.0000,-0.0771,0.2401,764.5717,13,756.6000,13,768.3000,2536.0900,2586.0200,0.0000,2,
^SPX,2017-10-23,SPXW,2018-03-29,1800.000,P,3.4200,3.4200,3.4200,3.4200,100,94,3.3000,300,3.5000,2565.8000,2566.3000,2551.5482,2566.0500,0.2726,-0.0192,0.0001,-0.0661,0.7820,-22.5163,60,3.4000,160,3.6000,2536.0900,2586.0200,3.4200,931,
^SPX,2017-10-23,SPXW,2018-03-29,1825.000,C,0.0000,0.0000,0.0000,0.0000,0,53,733.1000,40,741.9000,2565.8000,2566.3000,2551.5482,2566.0500,0.2267,0.9910,0.0001,-0.0906,0.4084,770.5198,13,732.4000,13,744.0000,2536.0900,2586.0200,0.0000,2,
^SPX,2017-10-23,SPXW,2018-03-29,1825.000,P,3.7500,3.7500,3.7500,3.7500,48,674,3.6000,190,3.8000,2565.8000,2566.3000,2551.5482,2566.0500,0.2670,-0.0211,0.0001,-0.0701,0.8475,-24.7404,190,3.7000,60,3.9000,2536.0900,2586.0200,3.7500,895,
